type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	39.011532254	126.248134057	214.7			
T	39.011532003	126.248079333	214.5			
T	39.011531751	126.248024622	213.8			
T	39.011534749	126.247975174	212.7			
T	39.011538883	126.247919159	211.5			
T	39.011543033	126.247862921	210.3			
T	39.011547200	126.247806457	209.1			
T	39.011550157	126.247750212	207.9			
T	39.011552951	126.247693873	206.6			
T	39.011555439	126.247643666	205.5			
T	39.011558248	126.247587040	204.2			
T	39.011561063	126.247530262	202.9			
T	39.011563887	126.247473331	201.3			
T	39.011566715	126.247416247	199.4			
T	39.011569238	126.247365375	197.6			
T	39.011573223	126.247307346	195.5			
T	39.011579111	126.247247972	193.4			
T	39.011585042	126.247188272	191.0			
T	39.011590860	126.247128315	188.5			
T	39.011596530	126.247068155	185.9			
T	39.011601595	126.247014409	183.6			
T	39.011607324	126.246953636	181.1			
T	39.011613080	126.246892534	178.9			
T	39.011618869	126.246831104	176.7			
T	39.011624690	126.246769342	174.5			
T	39.011629890	126.246714161	172.6			
T	39.011635763	126.246651769	170.6			
T	39.011641679	126.246589032	169.0			
T	39.011647623	126.246525947	167.5			
T	39.011653262	126.246462837	165.9			
T	39.011658931	126.246399399	164.4			
T	39.011663994	126.246342733	162.9			
T	39.011669724	126.246278670	161.2			
T	39.011675478	126.246214271	159.5			
T	39.011681262	126.246149535	157.9			
T	39.011687077	126.246084459	156.2			
T	39.011692922	126.246019039	154.3			
T	39.011698145	126.245960598	152.6			
T	39.011704889	126.245893540	150.6			
T	39.011709705	126.245828428	148.7			
T	39.011714542	126.245763036	146.8			
T	39.011719399	126.245697359	145.0			
T	39.011723735	126.245638742	143.3			
T	39.011728630	126.245572534	141.5			
T	39.011733549	126.245506029	139.7			
T	39.011738489	126.245439235	137.9			
T	39.011743451	126.245372149	136.0			
T	39.011748434	126.245304769	134.1			
T	39.011752867	126.245244656	132.5			
T	39.011757155	126.245177786	130.6			
T	39.011761460	126.245110667	128.7			
T	39.011506552	126.250782205	202.5			
T	39.011507657	126.250728172	201.8			
T	39.011508327	126.250679762	201.2			
T	39.011509082	126.250625262	200.4			
T	39.011509837	126.250570722	199.7			
T	39.011510593	126.250516140	199.1			
T	39.011510914	126.250461104	198.6			
T	39.011511163	126.250405987	198.1			
T	39.011511388	126.250356981	197.6			
T	39.011511641	126.250301837	197.1			
T	39.011511893	126.250246679	197.4			
T	39.011512146	126.250191508	198.3			
T	39.011512398	126.250136324	199.2			
T	39.011512623	126.250087259	200.0			
T	39.011510575	126.250030330	201.0			
T	39.011507960	126.249973105	202.2			
T	39.011505349	126.249916024	203.7			
T	39.011502747	126.249859090	205.2			
T	39.011500521	126.249802538	206.6			
T	39.011500054	126.249753299	207.8			
T	39.011499529	126.249697933	208.5			
T	39.011499005	126.249642595	208.3			
T	39.011498482	126.249587286	208.1			
T	39.011497958	126.249532007	207.9			
T	39.011497432	126.249476755	207.7			
T	39.011496967	126.249427666	207.3			
T	39.011496275	126.249372398	206.6			
T	39.011495225	126.249317021	205.9			
T	39.011494176	126.249261702	205.2			
T	39.011493139	126.249206446	204.4			
T	39.011492208	126.249157373	204.0			
T	39.011490955	126.249102152	204.7			
T	39.011489145	126.249046857	205.4			
T	39.011487337	126.248991660	206.2			
T	39.011485533	126.248936560	206.9			
T	39.011483734	126.248881561	207.7			
T	39.011482140	126.248832753	208.6			
T	39.011480346	126.248777939	209.6			
T	39.011478555	126.248723223	210.6			
T	39.011479005	126.248668788	211.4			
T	39.011480786	126.248614396	212.3			
T	39.011482372	126.248565965	213.0			
T	39.011484161	126.248511392	213.7			
T	39.011485951	126.248456720	214.5			
T	39.011486872	126.248402000	215.2			
T	39.011486624	126.248347320	216.0			
T	39.011486377	126.248292652	216.1			
T	39.011486158	126.248244070	216.0			
T	39.011485911	126.248189426	215.9			
T	39.011485668	126.248134796	215.8			
T	39.011485421	126.248080181	215.6			
T	39.011485175	126.248025579	215.0			
T	39.011488022	126.247976251	213.9			
T	39.011492054	126.247920353	212.7			
T	39.011496102	126.247864232	211.4			
T	39.011500166	126.247807886	210.2			
T	39.011504141	126.247751354	208.9			
T	39.011506868	126.247695102	207.7			
T	39.011509298	126.247644974	206.5			
T	39.011512040	126.247588435	205.2			
T	39.011514791	126.247531745	204.0			
T	39.011517547	126.247474903	202.4			
T	39.011520309	126.247417908	200.5			
T	39.011522772	126.247367116	198.8			
T	39.011526569	126.247309232	196.9			
T	39.011532317	126.247249958	194.8			
T	39.011538108	126.247190357	192.4			
T	39.011543922	126.247130417	189.9			
T	39.011549556	126.247070284	187.4			
T	39.011554502	126.247016622	185.1			
T	39.011560094	126.246955946	182.5			
T	39.011565717	126.246894942	180.3			
T	39.011571369	126.246833610	178.2			
T	39.011577052	126.246771948	176.0			
T	39.011582123	126.246716860	174.1			
T	39.011587865	126.246654566	172.0			
T	39.011593642	126.246591931	170.4			
T	39.011599455	126.246528958	168.8			
T	39.011605196	126.246465709	167.3			
T	39.011610731	126.246402368	165.7			
T	39.011615676	126.246345789	164.1			
T	39.011621272	126.246281824	162.3			
T	39.011626892	126.246217526	160.5			
T	39.011632541	126.246152890	158.7			
T	39.011638219	126.246087916	156.9			
T	39.011643927	126.246022600	154.9			
T	39.011649027	126.245964250	153.1			
T	39.011655658	126.245897252	151.1			
T	39.011661754	126.245830537	149.0			
T	39.011666484	126.245765200	147.0			
T	39.011671234	126.245699581	145.1			
T	39.011675473	126.245641014	143.5			
T	39.011680251	126.245574859	141.6			
T	39.011685069	126.245508417	139.8			
T	39.011689900	126.245441681	138.1			
T	39.011694751	126.245374654	136.3			
T	39.011699624	126.245307334	134.5			
T	39.011704197	126.245246932	132.9			
T	39.011709083	126.245179085	130.9			
T	39.011713295	126.245111993	129.0			
T	39.011458783	126.250776668	204.0			
T	39.011459761	126.250722655	203.2			
T	39.011460415	126.250674364	202.5			
T	39.011461150	126.250619998	201.8			
T	39.011461884	126.250565590	201.0			
T	39.011462620	126.250511142	200.4			
T	39.011463317	126.250456616	199.9			
T	39.011463559	126.250401625	199.3			
T	39.011463778	126.250352731	198.8			
T	39.011464024	126.250297713	198.3			
T	39.011464270	126.250242681	198.7			
T	39.011464516	126.250187636	199.6			
T	39.011464763	126.250132578	200.6			
T	39.011464982	126.250083626	201.4			
T	39.011462803	126.250026691	202.4			
T	39.011460255	126.249969607	203.7			
T	39.011457709	126.249912666	205.3			
T	39.011455175	126.249855872	206.9			
T	39.011452647	126.249799223	208.4			
T	39.011450898	126.249749299	209.8			
T	39.011450388	126.249694111	210.5			
T	39.011449877	126.249638951	210.4			
T	39.011449367	126.249583820	210.3			
T	39.011448857	126.249528720	210.2			
T	39.011448348	126.249473646	210.1			
T	39.011447895	126.249424714	209.7			
T	39.011447197	126.249369612	208.9			
T	39.011446175	126.249314415	208.1			
T	39.011445155	126.249259275	207.2			
T	39.011444147	126.249204198	206.4			
T	39.011443241	126.249155283	206.0			
T	39.011442224	126.249100307	206.8			
T	39.011440909	126.249045300	207.5			
T	39.011439150	126.248990263	208.3			
T	39.011437394	126.248935323	209.1			
T	39.011435644	126.248880483	209.9			
T	39.011434093	126.248831815	210.7			
T	39.011432347	126.248777159	211.5			
T	39.011430603	126.248722600	212.3			
T	39.011431075	126.248668323	213.0			
T	39.011432808	126.248614085	213.7			
T	39.011434352	126.248565793	214.3			
T	39.011436094	126.248511375	214.9			
T	39.011437836	126.248456859	215.6			
T	39.011439581	126.248402246	216.2			
T	39.011440196	126.248347634	216.9			
T	39.011439956	126.248293075	217.0			
T	39.011439742	126.248244589	217.0			
T	39.011439500	126.248190055	216.9			
T	39.011439264	126.248135533	216.8			
T	39.011439023	126.248081026	216.8			
T	39.011438783	126.248026533	216.1			
T	39.011441483	126.247977324	215.0			
T	39.011445414	126.247921542	213.8			
T	39.011449361	126.247865537	212.5			
T	39.011453324	126.247809309	211.3			
T	39.011457303	126.247752856	210.0			
T	39.011460926	126.247696328	208.7			
T	39.011463297	126.247646277	207.6			
T	39.011465973	126.247589826	206.3			
T	39.011468656	126.247533223	205.0			
T	39.011471348	126.247476470	203.5			
T	39.011474043	126.247419564	201.7			
T	39.011476447	126.247368851	200.0			
T	39.011480061	126.247311113	198.1			
T	39.011485671	126.247251937	196.1			
T	39.011491323	126.247192436	193.9			
T	39.011496996	126.247132597	191.3			
T	39.011502701	126.247072422	188.8			
T	39.011507549	126.247018829	186.5			
T	39.011513004	126.246958249	184.0			
T	39.011518492	126.246897343	181.7			
T	39.011524010	126.246836108	179.6			
T	39.011529557	126.246774546	177.4			
T	39.011534507	126.246719547	175.5			
T	39.011540111	126.246657354	173.4			
T	39.011545750	126.246594820	171.8			
T	39.011551423	126.246531952	170.2			
T	39.011557119	126.246468733	168.6			
T	39.011562668	126.246405330	167.0			
T	39.011567495	126.246348837	165.4			
T	39.011572957	126.246284970	163.5			
T	39.011578443	126.246220771	161.6			
T	39.011583958	126.246156237	159.7			
T	39.011589501	126.246091363	157.8			
T	39.011595072	126.246026150	155.9			
T	39.011600050	126.245967892	154.2			
T	39.011606469	126.245901066	152.2			
T	39.011613099	126.245833623	150.2			
T	39.011618503	126.245767361	148.1			
T	39.011623144	126.245701799	146.2			
T	39.011627288	126.245643283	144.4			
T	39.011631961	126.245577185	142.4			
T	39.011636666	126.245510801	140.5			
T	39.011641387	126.245444124	138.7			
T	39.011646129	126.245377156	136.9			
T	39.011650888	126.245309896	135.1			
T	39.011655339	126.245249583	133.4			
T	39.011660773	126.245180780	131.3			
T	39.011665168	126.245113318	129.3			
T	39.011416517	126.250771770	205.2			
T	39.011417387	126.250717773	204.5			
T	39.011418024	126.250669586	203.8			
T	39.011418743	126.250615338	203.0			
T	39.011419458	126.250561049	202.2			
T	39.011420178	126.250506722	201.6			
T	39.011420897	126.250452355	201.0			
T	39.011421427	126.250397764	200.4			
T	39.011421641	126.250348969	199.9			
T	39.011421881	126.250294063	199.3			
T	39.011422122	126.250239143	199.8			
T	39.011422362	126.250184210	200.8			
T	39.011422603	126.250129263	201.8			
T	39.011422817	126.250080410	202.6			
T	39.011420529	126.250023468	203.7			
T	39.011418041	126.249966510	205.1			
T	39.011415559	126.249909696	206.7			
T	39.011413079	126.249853025	208.4			
T	39.011410609	126.249796501	210.1			
T	39.011408420	126.249746377	211.5			
T	39.011406970	126.249690736	212.3			
T	39.011406472	126.249635734	212.2			
T	39.011405975	126.249580759	212.2			
T	39.011405478	126.249525813	212.2			
T	39.011404981	126.249470896	212.2			
T	39.011404539	126.249422103	211.8			
T	39.011403836	126.249367148	210.9			
T	39.011402839	126.249312110	210.0			
T	39.011401844	126.249257130	209.1			
T	39.011400860	126.249202211	208.1			
T	39.011399977	126.249153434	207.7			
T	39.011398984	126.249098614	208.6			
T	39.011397990	126.249043850	209.4			
T	39.011396550	126.248989028	210.2			
T	39.011394836	126.248934231	211.1			
T	39.011393126	126.248879531	211.9			
T	39.011391614	126.248830992	212.5			
T	39.011389909	126.248776473	213.2			
T	39.011388207	126.248722050	213.8			
T	39.011388700	126.248667909	214.4			
T	39.011390392	126.248613809	214.9			
T	39.011391898	126.248565641	215.4			
T	39.011393596	126.248511363	216.0			
T	39.011395297	126.248456985	216.5			
T	39.011397000	126.248402511	217.1			
T	39.011398709	126.248347941	217.7			
T	39.011398846	126.248293449	217.8			
T	39.011398638	126.248245049	217.8			
T	39.011398403	126.248190611	217.8			
T	39.011398170	126.248136187	217.8			
T	39.011397935	126.248081774	217.8			
T	39.011397700	126.248027375	217.2			
T	39.011400274	126.247978273	216.1			
T	39.011404117	126.247922594	214.8			
T	39.011407974	126.247866693	213.5			
T	39.011411848	126.247810571	212.2			
T	39.011415735	126.247754223	210.9			
T	39.011419639	126.247697649	209.6			
T	39.011422523	126.247647432	208.5			
T	39.011425141	126.247591059	207.2			
T	39.011427766	126.247534534	205.9			
T	39.011430398	126.247477859	204.4			
